x,y,z,Seconds,Microseconds,,,
,,,,,,,
255,6,3,0,0,,,
,,,,,,,
22,20,207,0,0,,,
,,,,,,,
10,21,205,0,0,,,
,,,,,,,
0,0,0,0,0,,,
,,,,,,,
0,0,0,0,16000,,,
,,,,,,,
0,0,0,0,32000,,,
,,,,,,,
0,0,0,0,32000,,,
,,,,,,,
0,0,0,0,32000,,,
,,,,,,,
0,0,0,0,32000,,,
,,,,,,,
0,0,0,0,32000,,,
,,,,,,,
0,0,0,0,32000,,,
,,,,,,,
0,0,0,0,47000,,,
,,,,,,,
0,0,0,0,47000,,,
,,,,,,,
0,0,0,0,47000,,,
,,,,,,,
0,0,0,0,47000,,,
,,,,,,,
0,0,0,0,47000,,,
,,,,,,,
0,0,0,0,47000,,,
,,,,,,,
0,0,0,0,63000,,,
,,,,,,,
0,0,0,0,63000,,,
,,,,,,,
0,0,0,0,67000,,,
,,,,,,,
0,0,0,0,71000,,,
,,,,,,,
0,0,0,0,71000,,,
,,,,,,,
0,0,0,0,75000,,,
,,,,,,,
0,0,0,0,79000,,,
,,,,,,,
0,0,0,0,79000,,,
,,,,,,,
0,0,0,0,85000,,,
,,,,,,,
0,0,0,0,85000,,,
,,,,,,,
0,0,0,0,85000,,,
,,,,,,,
0,0,0,0,85000,,,
,,,,,,,
0,0,0,0,85000,,,
,,,,,,,
0,0,0,0,85000,,,
,,,,,,,
0,0,0,0,100000,,,
,,,,,,,
240,157,127,0,100000,,,
,,,,,,,
0,0,0,0,100000,,,
,,,,,,,
0,0,0,0,100000,,,
,,,,,,,
0,0,0,0,100000,,,
,,,,,,,
0,0,0,0,100000,,,
,,,,,,,
0,0,0,0,116000,,,
,,,,,,,
0,0,0,0,116000,,,
,,,,,,,
0,0,0,0,116000,,,
,,,,,,,
0,0,0,0,116000,,,
,,,,,,,
0,0,0,0,116000,,,
,,,,,,,
0,0,0,0,116000,,,
,,,,,,,
0,0,0,0,132000,,,
,,,,,,,
0,0,0,0,132000,,,
,,,,,,,
0,0,0,0,132000,,,
,,,,,,,
0,0,0,0,132000,,,
,,,,,,,
0,0,0,0,132000,,,
,,,,,,,
0,0,0,0,132000,,,
,,,,,,,
2,209,127,0,147000,,,
,,,,,,,
0,0,0,0,147000,,,
,,,,,,,
0,0,0,0,147000,,,
,,,,,,,
0,0,0,0,147000,,,
,,,,,,,
0,0,0,0,147000,,,
,,,,,,,
0,0,0,0,147000,,,
,,,,,,,
0,0,0,0,163000,,,
,,,,,,,
0,0,0,0,163000,,,
,,,,,,,
0,0,0,0,163000,,,
,,,,,,,
0,0,0,0,163000,,,
,,,,,,,
0,0,0,0,163000,,,
,,,,,,,
0,0,0,0,163000,,,
,,,,,,,
0,0,0,0,178000,,,
,,,,,,,
0,0,0,0,178000,,,
,,,,,,,
0,0,0,0,178000,,,
,,,,,,,
0,0,0,0,178000,,,
,,,,,,,
0,0,0,0,178000,,,
,,,,,,,
0,0,0,0,178000,,,
,,,,,,,
43,239,113,0,178000,,,
,,,,,,,
0,0,0,0,194000,,,
,,,,,,,
0,0,0,0,194000,,,
,,,,,,,
0,0,0,0,194000,,,
,,,,,,,
0,0,0,0,194000,,,
,,,,,,,
0,0,0,0,194000,,,
,,,,,,,
0,0,0,0,194000,,,
,,,,,,,
0,0,0,0,194000,,,
,,,,,,,
0,0,0,0,194000,,,
,,,,,,,
0,0,0,0,210000,,,
,,,,,,,
0,0,0,0,210000,,,
,,,,,,,
0,0,0,0,210000,,,
,,,,,,,
0,0,0,0,210000,,,
,,,,,,,
0,0,0,0,210000,,,
,,,,,,,
0,0,0,0,210000,,,
,,,,,,,
0,0,0,0,210000,,,
,,,,,,,
0,0,0,0,225000,,,
,,,,,,,
0,0,0,0,225000,,,
,,,,,,,
0,0,0,0,225000,,,
,,,,,,,
0,0,0,0,225000,,,
,,,,,,,
0,0,0,0,225000,,,
,,,,,,,
0,0,0,0,225000,,,
,,,,,,,
0,0,0,0,225000,,,
,,,,,,,
0,0,0,0,225000,,,
,,,,,,,
23,242,62,0,241000,,,
,,,,,,,
0,0,0,0,241000,,,
,,,,,,,
0,0,0,0,241000,,,
,,,,,,,
0,0,0,0,241000,,,
,,,,,,,
0,0,0,0,241000,,,
,,,,,,,
0,0,0,0,241000,,,
,,,,,,,
0,0,0,0,241000,,,
,,,,,,,
0,0,0,0,241000,,,
,,,,,,,
0,0,0,0,257000,,,
,,,,,,,
0,0,0,0,257000,,,
,,,,,,,
0,0,0,0,257000,,,
,,,,,,,
0,0,0,0,257000,,,
,,,,,,,
0,0,0,0,257000,,,
,,,,,,,
0,0,0,0,257000,,,
,,,,,,,
0,0,0,0,257000,,,
,,,,,,,
0,0,0,0,257000,,,
,,,,,,,
0,0,0,0,272000,,,
,,,,,,,
0,0,0,0,272000,,,
,,,,,,,
0,0,0,0,272000,,,
,,,,,,,
0,0,0,0,272000,,,
,,,,,,,
0,0,0,0,272000,,,
,,,,,,,
0,0,0,0,272000,,,
,,,,,,,
0,0,0,0,272000,,,
,,,,,,,
8,249,254,0,272000,,,
,,,,,,,
0,0,0,0,288000,,,
,,,,,,,
0,0,0,0,288000,,,
,,,,,,,
0,0,0,0,288000,,,
,,,,,,,
0,0,0,0,288000,,,
,,,,,,,
0,0,0,0,288000,,,
,,,,,,,
0,0,0,0,288000,,,
,,,,,,,
0,0,0,0,303000,,,
,,,,,,,
0,0,0,0,303000,,,
,,,,,,,
0,0,0,0,303000,,,
,,,,,,,
0,0,0,0,303000,,,
,,,,,,,
0,0,0,0,303000,,,
,,,,,,,
0,0,0,0,303000,,,
,,,,,,,
0,0,0,0,303000,,,
,,,,,,,
0,0,0,0,303000,,,
,,,,,,,
0,0,0,0,319000,,,
,,,,,,,
0,0,0,0,319000,,,
,,,,,,,
0,0,0,0,319000,,,
,,,,,,,
0,0,0,0,319000,,,
,,,,,,,
0,0,0,0,319000,,,
,,,,,,,
0,0,0,0,319000,,,
,,,,,,,
8,21,193,0,319000,,,
,,,,,,,
0,0,0,0,319000,,,
,,,,,,,
0,0,0,0,335000,,,
,,,,,,,
0,0,0,0,335000,,,
,,,,,,,
0,0,0,0,335000,,,
,,,,,,,
0,0,0,0,335000,,,
,,,,,,,
0,0,0,0,335000,,,
,,,,,,,
0,0,0,0,335000,,,
,,,,,,,
0,0,0,0,335000,,,
,,,,,,,
0,0,0,0,335000,,,
,,,,,,,
0,0,0,0,350000,,,
,,,,,,,
0,0,0,0,350000,,,
,,,,,,,
0,0,0,0,350000,,,
,,,,,,,
0,0,0,0,350000,,,
,,,,,,,
0,0,0,0,350000,,,
,,,,,,,
0,0,0,0,350000,,,
,,,,,,,
0,0,0,0,350000,,,
,,,,,,,
0,0,0,0,366000,,,
,,,,,,,
0,0,0,0,366000,,,
,,,,,,,
0,0,0,0,366000,,,
,,,,,,,
0,0,0,0,366000,,,
,,,,,,,
0,0,0,0,366000,,,
,,,,,,,
0,0,0,0,366000,,,
,,,,,,,
0,0,0,0,366000,,,
,,,,,,,
4,30,153,0,366000,,,
,,,,,,,
0,0,0,0,382000,,,
,,,,,,,
0,0,0,0,382000,,,
,,,,,,,
0,0,0,0,382000,,,
,,,,,,,
0,0,0,0,382000,,,
,,,,,,,
0,0,0,0,382000,,,
,,,,,,,
0,0,0,0,382000,,,
,,,,,,,
0,0,0,0,382000,,,
,,,,,,,
0,0,0,0,382000,,,
,,,,,,,
0,0,0,0,397000,,,
,,,,,,,
0,0,0,0,397000,,,
,,,,,,,
0,0,0,0,397000,,,
,,,,,,,
0,0,0,0,397000,,,
,,,,,,,
0,0,0,0,397000,,,
,,,,,,,
0,0,0,0,397000,,,
,,,,,,,
0,0,0,0,397000,,,
,,,,,,,
0,0,0,0,397000,,,
,,,,,,,
0,0,0,0,413000,,,
,,,,,,,
0,0,0,0,413000,,,
,,,,,,,
0,0,0,0,413000,,,
,,,,,,,
0,0,0,0,413000,,,
,,,,,,,
0,0,0,0,413000,,,
,,,,,,,
0,0,0,0,413000,,,
,,,,,,,
255,14,203,0,413000,,,
,,,,,,,
0,0,0,0,413000,,,
,,,,,,,
0,0,0,0,428000,,,
,,,,,,,
0,0,0,0,428000,,,
,,,,,,,
0,0,0,0,428000,,,
,,,,,,,
0,0,0,0,428000,,,
,,,,,,,
0,0,0,0,428000,,,
,,,,,,,
0,0,0,0,428000,,,
,,,,,,,
0,0,0,0,428000,,,
,,,,,,,
0,0,0,0,444000,,,
,,,,,,,
0,0,0,0,444000,,,
,,,,,,,
0,0,0,0,444000,,,
,,,,,,,
0,0,0,0,444000,,,
,,,,,,,
0,0,0,0,444000,,,
,,,,,,,
0,0,0,0,444000,,,
,,,,,,,
0,0,0,0,444000,,,
,,,,,,,
0,0,0,0,444000,,,
,,,,,,,
0,0,0,0,460000,,,
,,,,,,,
0,0,0,0,460000,,,
,,,,,,,
0,0,0,0,460000,,,
,,,,,,,
0,0,0,0,460000,,,
,,,,,,,
0,0,0,0,460000,,,
,,,,,,,
222,132,127,0,460000,,,
,,,,,,,
0,0,0,0,460000,,,
,,,,,,,
0,0,0,0,475000,,,
,,,,,,,
0,0,0,0,475000,,,
,,,,,,,
0,0,0,0,475000,,,
,,,,,,,
0,0,0,0,475000,,,
,,,,,,,
0,0,0,0,475000,,,
,,,,,,,
0,0,0,0,475000,,,
,,,,,,,
0,0,0,0,475000,,,
,,,,,,,
0,0,0,0,475000,,,
,,,,,,,
0,0,0,0,491000,,,
,,,,,,,
0,0,0,0,491000,,,
,,,,,,,
0,0,0,0,491000,,,
,,,,,,,
0,0,0,0,491000,,,
,,,,,,,
0,0,0,0,491000,,,
,,,,,,,
0,0,0,0,491000,,,
,,,,,,,
0,0,0,0,491000,,,
,,,,,,,
0,0,0,0,491000,,,
,,,,,,,
0,0,0,0,491000,,,
,,,,,,,
0,0,0,0,507000,,,
,,,,,,,
0,0,0,0,507000,,,
,,,,,,,
0,0,0,0,507000,,,
,,,,,,,
0,0,0,0,507000,,,
,,,,,,,
0,0,0,0,507000,,,
,,,,,,,
31,31,127,0,507000,,,
,,,,,,,
0,0,0,0,507000,,,
,,,,,,,
0,0,0,0,507000,,,
,,,,,,,
0,0,0,0,522000,,,
,,,,,,,
0,0,0,0,522000,,,
,,,,,,,
0,0,0,0,522000,,,
,,,,,,,
0,0,0,0,522000,,,
,,,,,,,
0,0,0,0,522000,,,
,,,,,,,
0,0,0,0,522000,,,
,,,,,,,
0,0,0,0,522000,,,
,,,,,,,
0,0,0,0,538000,,,
,,,,,,,
0,0,0,0,538000,,,
,,,,,,,
0,0,0,0,538000,,,
,,,,,,,
0,0,0,0,538000,,,
,,,,,,,
0,0,0,0,538000,,,
,,,,,,,
0,0,0,0,538000,,,
,,,,,,,
0,0,0,0,538000,,,
,,,,,,,
0,0,0,0,538000,,,
,,,,,,,
0,0,0,0,553000,,,
,,,,,,,
0,0,0,0,553000,,,
,,,,,,,
0,0,0,0,553000,,,
,,,,,,,
0,0,0,0,553000,,,
,,,,,,,
0,0,0,0,553000,,,
,,,,,,,
44,239,91,0,553000,,,
,,,,,,,
0,0,0,0,553000,,,
,,,,,,,
0,0,0,0,553000,,,
,,,,,,,
0,0,0,0,569000,,,
,,,,,,,
0,0,0,0,569000,,,
,,,,,,,
0,0,0,0,569000,,,
,,,,,,,
0,0,0,0,569000,,,
,,,,,,,
0,0,0,0,569000,,,
,,,,,,,
0,0,0,0,569000,,,
,,,,,,,
0,0,0,0,569000,,,
,,,,,,,
0,0,0,0,569000,,,
,,,,,,,
0,0,0,0,585000,,,
,,,,,,,
0,0,0,0,585000,,,
,,,,,,,
0,0,0,0,585000,,,
,,,,,,,
0,0,0,0,585000,,,
,,,,,,,
0,0,0,0,585000,,,
,,,,,,,
0,0,0,0,585000,,,
,,,,,,,
0,0,0,0,585000,,,
,,,,,,,
0,0,0,0,585000,,,
,,,,,,,
0,0,0,0,600000,,,
,,,,,,,
0,0,0,0,600000,,,
,,,,,,,
0,0,0,0,600000,,,
,,,,,,,
0,0,0,0,600000,,,
,,,,,,,
21,240,44,0,600000,,,
,,,,,,,
0,0,0,0,600000,,,
,,,,,,,
0,0,0,0,600000,,,
,,,,,,,
0,0,0,0,600000,,,
,,,,,,,
0,0,0,0,616000,,,
,,,,,,,
0,0,0,0,616000,,,
,,,,,,,
0,0,0,0,616000,,,
,,,,,,,
0,0,0,0,616000,,,
,,,,,,,
0,0,0,0,616000,,,
,,,,,,,
0,0,0,0,616000,,,
,,,,,,,
0,0,0,0,616000,,,
,,,,,,,
0,0,0,0,632000,,,
,,,,,,,
0,0,0,0,632000,,,
,,,,,,,
0,0,0,0,632000,,,
,,,,,,,
0,0,0,0,632000,,,
,,,,,,,
0,0,0,0,632000,,,
,,,,,,,
0,0,0,0,632000,,,
,,,,,,,
0,0,0,0,632000,,,
,,,,,,,
0,0,0,0,632000,,,
,,,,,,,
0,0,0,0,647000,,,
,,,,,,,
0,0,0,0,647000,,,
,,,,,,,
0,0,0,0,647000,,,
,,,,,,,
0,0,0,0,647000,,,
,,,,,,,
7,1,230,0,647000,,,
,,,,,,,
0,0,0,0,647000,,,
,,,,,,,
0,0,0,0,647000,,,
,,,,,,,
0,0,0,0,663000,,,
,,,,,,,
0,0,0,0,663000,,,
,,,,,,,
0,0,0,0,663000,,,
,,,,,,,
0,0,0,0,663000,,,
,,,,,,,
0,0,0,0,663000,,,
,,,,,,,
0,0,0,0,663000,,,
,,,,,,,
0,0,0,0,663000,,,
,,,,,,,
0,0,0,0,663000,,,
,,,,,,,
0,0,0,0,663000,,,
,,,,,,,
0,0,0,0,678000,,,
,,,,,,,
0,0,0,0,678000,,,
,,,,,,,
0,0,0,0,678000,,,
,,,,,,,
0,0,0,0,678000,,,
,,,,,,,
0,0,0,0,678000,,,
,,,,,,,
0,0,0,0,678000,,,
,,,,,,,
0,0,0,0,678000,,,
,,,,,,,
0,0,0,0,694000,,,
,,,,,,,
0,0,0,0,694000,,,
,,,,,,,
0,0,0,0,694000,,,
,,,,,,,
0,0,0,0,694000,,,
,,,,,,,
9,34,168,0,694000,,,
,,,,,,,
0,0,0,0,694000,,,
,,,,,,,
0,0,0,0,694000,,,
,,,,,,,
0,0,0,0,710000,,,
,,,,,,,
0,0,0,0,710000,,,
,,,,,,,
0,0,0,0,710000,,,
,,,,,,,
0,0,0,0,710000,,,
,,,,,,,
0,0,0,0,710000,,,
,,,,,,,
0,0,0,0,710000,,,
,,,,,,,
0,0,0,0,710000,,,
,,,,,,,
0,0,0,0,710000,,,
,,,,,,,
0,0,0,0,725000,,,
,,,,,,,
0,0,0,0,725000,,,
,,,,,,,
0,0,0,0,725000,,,
,,,,,,,
0,0,0,0,725000,,,
,,,,,,,
0,0,0,0,725000,,,
,,,,,,,
0,0,0,0,725000,,,
,,,,,,,
0,0,0,0,725000,,,
,,,,,,,
0,0,0,0,741000,,,
,,,,,,,
0,0,0,0,741000,,,
,,,,,,,
255,31,177,0,741000,,,
,,,,,,,
0,0,0,0,741000,,,
,,,,,,,
0,0,0,0,741000,,,
,,,,,,,
0,0,0,0,741000,,,
,,,,,,,
0,0,0,0,741000,,,
,,,,,,,
0,0,0,0,757000,,,
,,,,,,,
0,0,0,0,757000,,,
,,,,,,,
0,0,0,0,757000,,,
,,,,,,,
0,0,0,0,757000,,,
,,,,,,,
0,0,0,0,757000,,,
,,,,,,,
0,0,0,0,757000,,,
,,,,,,,
0,0,0,0,757000,,,
,,,,,,,
0,0,0,0,757000,,,
,,,,,,,
0,0,0,0,772000,,,
,,,,,,,
0,0,0,0,772000,,,
,,,,,,,
0,0,0,0,772000,,,
,,,,,,,
0,0,0,0,772000,,,
,,,,,,,
0,0,0,0,772000,,,
,,,,,,,
0,0,0,0,772000,,,
,,,,,,,
0,0,0,0,772000,,,
,,,,,,,
0,0,0,0,772000,,,
,,,,,,,
0,0,0,0,772000,,,
,,,,,,,
0,0,0,0,788000,,,
,,,,,,,
0,0,0,0,788000,,,
,,,,,,,
0,0,0,0,788000,,,
,,,,,,,
0,14,21,0,788000,,,
,,,,,,,
0,0,0,0,788000,,,
,,,,,,,
0,0,0,0,788000,,,
,,,,,,,
0,0,0,0,788000,,,
,,,,,,,
0,0,0,0,788000,,,
,,,,,,,
0,0,0,0,788000,,,
,,,,,,,
0,0,0,0,803000,,,
,,,,,,,
0,0,0,0,803000,,,
,,,,,,,
0,0,0,0,803000,,,
,,,,,,,
0,0,0,0,803000,,,
,,,,,,,
0,0,0,0,803000,,,
,,,,,,,
0,0,0,0,803000,,,
,,,,,,,
0,0,0,0,803000,,,
,,,,,,,
0,0,0,0,803000,,,
,,,,,,,
0,0,0,0,819000,,,
,,,,,,,
0,0,0,0,819000,,,
,,,,,,,
0,0,0,0,819000,,,
,,,,,,,
0,0,0,0,819000,,,
,,,,,,,
0,0,0,0,819000,,,
,,,,,,,
0,0,0,0,819000,,,
,,,,,,,
0,0,0,0,819000,,,
,,,,,,,
0,0,0,0,819000,,,
,,,,,,,
0,0,0,0,819000,,,
,,,,,,,
0,0,0,0,835000,,,
,,,,,,,
0,0,0,0,835000,,,
,,,,,,,
0,0,0,0,835000,,,
,,,,,,,
232,199,127,0,835000,,,
,,,,,,,
0,0,0,0,835000,,,
,,,,,,,
0,0,0,0,835000,,,
,,,,,,,
0,0,0,0,835000,,,
,,,,,,,
0,0,0,0,835000,,,
,,,,,,,
0,0,0,0,835000,,,
,,,,,,,
0,0,0,0,850000,,,
,,,,,,,
0,0,0,0,850000,,,
,,,,,,,
0,0,0,0,850000,,,
,,,,,,,
0,0,0,0,850000,,,
,,,,,,,
0,0,0,0,850000,,,
,,,,,,,
0,0,0,0,850000,,,
,,,,,,,
0,0,0,0,850000,,,
,,,,,,,
0,0,0,0,850000,,,
,,,,,,,
